,repo,user,pr_title,pr_body,commits
0,h5bp/html5-boilerplate,dependabot[bot],chore(deps-dev): update webpack requirement from ^5.64.4 to ^5.65.0 in /src,"Updates the requirements on [webpack](LINK to permit the latest version.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""LINK releases</a>.</em></p>
<blockquote>
<h2>v5.65.0</h2>
<h1>Features</h1>
<ul>
<li>static evaluation understands <code>undefined</code> now</li>
<li>reduce container entry code by a few chars</li>
<li>use template literals when available and they make sense</li>
</ul>
<h1>Bugfixes</h1>
<ul>
<li>handle <code>singleton</code> flag without <code>requiredVersion</code> in Module Federation</li>
<li>upgrade <code>watchpack</code> for context time info bugfix</li>
</ul>
<h1>Performance</h1>
<ul>
<li>improve RegExp in error message formating for non-quadratic performance</li>
</ul>
<h1>Developer Experience</h1>
<ul>
<li>automatically insert brackets when <code>output.globalObject</code> contains a non-trival expression</li>
<li>show error when using <code>script</code> type external with invalid syntax</li>
<li>expose types for <code>Resolver</code>, <code>StatsOptions</code> and <code>ResolvePluginInstance</code></li>
</ul>
<h1>Preparations for the future</h1>
<ul>
<li><code>hashDigestLength</code> will default to 16 in webpack 6 (<code>experiments.futureDefaults</code>)</li>
</ul>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""LINK 5.65.0</li>
<li><a href=""LINK Merge pull request <a href=""LINK from webpack/deps/watchpack</li>
<li><a href=""LINK Merge pull request <a href=""LINK from webpack/dependabot/npm_and_yarn/prettier-2.5.1</li>
<li><a href=""LINK upgrade watchpack for bugfix</li>
<li><a href=""LINK chore(deps-dev): bump prettier from 2.5.0 to 2.5.1</li>
<li><a href=""LINK Merge pull request <a href=""LINK from colacadstink/main</li>
<li><a href=""LINK Added testing for new singleton logic (and caught a typo in the process!)</li>
<li><a href=""LINK Merge pull request <a href=""LINK from webpack/rebase/12875</li>
<li><a href=""LINK Merge pull request <a href=""LINK from webpack/fix-runtime-template</li>
<li><a href=""LINK Merge pull request <a href=""LINK from webpack/dependabot/npm_and_yarn/simple-git-2.48.0</li>
<li>Additional commits viewable in <a href=""LINK view</a></li>
</ul>
</details>
<br />


Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",1
1,h5bp/html5-boilerplate,dependabot[bot],chore(deps-dev): bump eslint from 8.4.0 to 8.4.1,"Bumps [eslint](LINK from 8.4.0 to 8.4.1.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""LINK releases</a>.</em></p>
<blockquote>
<h2>v8.4.1</h2>
<h2>Bug Fixes</h2>
<ul>
<li><a href=""LINK fix: revert changes to reported locations in max-lines-per-function (<a href=""LINK (Milos Djermanovic)</li>
</ul>
<h2>Documentation</h2>
<ul>
<li><a href=""LINK docs: fix typo in example for <code>sort-keys</code> rule (<a href=""LINK (Nitin Kumar)</li>
</ul>
</blockquote>
</details>
<details>
<summary>Changelog</summary>
<p><em>Sourced from <a href=""LINK changelog</a>.</em></p>
<blockquote>
<p>v8.4.1 - December 6, 2021</p>
<ul>
<li><a href=""LINK fix: revert changes to reported locations in max-lines-per-function (<a href=""LINK (Milos Djermanovic)</li>
<li><a href=""LINK docs: fix typo in example for <code>sort-keys</code> rule (<a href=""LINK (Nitin Kumar)</li>
</ul>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""LINK 8.4.1</li>
<li><a href=""LINK Build: changelog update for 8.4.1</li>
<li><a href=""LINK fix: revert changes to reported locations in max-lines-per-function (<a href=""LINK
<li><a href=""LINK docs: fix typo in example for <code>sort-keys</code> rule (<a href=""LINK
<li>See full diff in <a href=""LINK view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](LINK

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",1
2,h5bp/html5-boilerplate,dependabot[bot],chore(deps-dev): bump eslint-plugin-mocha from 9.0.0 to 10.0.1,"Bumps [eslint-plugin-mocha](LINK from 9.0.0 to 10.0.1.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""LINK releases</a>.</em></p>
<blockquote>
<h2>10.0.1</h2>
<h3>Bug Fixes</h3>
<ul>
<li>Add <code>mocha</code> prefix to &quot;no-empty-description&quot; rule name in rec config (<a href=""LINK
</ul>
<h3>Build-Related</h3>
<ul>
<li>chore: use <code>npm-run-all</code> to run lint/test scripts (<a href=""LINK
</ul>
<h2>10.0.0</h2>
<h3>Breaking Changes</h3>
<ul>
<li>Turn off no-hooks-for-single-case in recommended (<a href=""LINK
<li>Drop support for node v12 (<a href=""LINK
</ul>
<h3>Features</h3>
<ul>
<li>Add <code>no-empty-description</code> rule. closes <a href=""LINK (<a href=""LINK
</ul>
<h3>Enhancements</h3>
<ul>
<li>Add rule documentation URLs (and eslint-plugin-eslint-plugin) (<a href=""LINK
</ul>
<h3>Documentation</h3>
<ul>
<li>Remove unavailable badge from README (<a href=""LINK
</ul>
<h3>Dependency Upgrades</h3>
<ul>
<li>Update devDependencies (<a href=""LINK
</ul>
<h3>Code Refactoring</h3>
<ul>
<li>Remove eslint-config-holidaycheck dev dependency (<a href=""LINK
</ul>
<h3>Build-Related</h3>
<ul>
<li>Add <code>markdownlint</code> and fix linting issues (<a href=""LINK
</ul>
</blockquote>
</details>
<details>
<summary>Changelog</summary>
<p><em>Sourced from <a href=""LINK changelog</a>.</em></p>
<blockquote>
<h2>10.0.1 (December 8, 2021)</h2>
<h3>Bug Fixes</h3>
<ul>
<li>Add <code>mocha</code> prefix to &quot;no-empty-description&quot; rule name in rec config (<a href=""LINK
</ul>
<h3>Build-Related</h3>
<ul>
<li>chore: use <code>npm-run-all</code> to run lint/test scripts (<a href=""LINK
</ul>
<h2>10.0.0 (December 8, 2021)</h2>
<h3>Breaking Changes</h3>
<ul>
<li>Turn off no-hooks-for-single-case in recommended (<a href=""LINK
<li>Drop support for node v12 (<a href=""LINK
</ul>
<h3>Features</h3>
<ul>
<li>Add <code>no-empty-description</code> rule. closes <a href=""LINK (<a href=""LINK
</ul>
<h3>Enhancements</h3>
<ul>
<li>Add rule documentation URLs (and eslint-plugin-eslint-plugin) (<a href=""LINK
</ul>
<h3>Documentation</h3>
<ul>
<li>Remove unavailable badge from README (<a href=""LINK
</ul>
<h3>Dependency Upgrades</h3>
<ul>
<li>Update devDependencies (<a href=""LINK
</ul>
<h3>Code Refactoring</h3>
<ul>
<li>Remove eslint-config-holidaycheck dev dependency (<a href=""LINK
</ul>
<h3>Build-Related</h3>
<ul>
<li>Add <code>markdownlint</code> and fix linting issues (<a href=""LINK
</ul>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""LINK 10.0.1</li>
<li><a href=""LINK Merge pull request <a href=""LINK from JonathanWolfe/patch-1</li>
<li><a href=""LINK Add <code>mocha</code> prefix to &quot;no-empty-description&quot; rule name in recommended config</li>
<li><a href=""LINK Merge pull request <a href=""LINK from bmish/npm-run-all</li>
<li><a href=""LINK chore: use npm-run-all to run lint/test scripts</li>
<li><a href=""LINK 10.0.0</li>
<li><a href=""LINK Merge pull request <a href=""LINK from ddzz/add-markdownlint</li>
<li><a href=""LINK Merge pull request <a href=""LINK from edg2s/no-hooks-for-single-case-off</li>
<li><a href=""LINK Turn off no-hooks-for-single-case in recommended</li>
<li><a href=""LINK Merge pull request <a href=""LINK from ddzz/remove-badge</li>
<li>Additional commits viewable in <a href=""LINK view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](LINK

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",1
3,h5bp/html5-boilerplate,dependabot[bot],chore(deps): bump actions/setup-node from 2.4.1 to 2.5.0,"Bumps [actions/setup-node](LINK from 2.4.1 to 2.5.0.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""LINK releases</a>.</em></p>
<blockquote>
<h2>Adding Node.js version file support</h2>
<p>In scope of this release we add the <code>node-version-file</code> input and update <code>actions/cache</code> dependency to the latest version.</p>
<h2>Adding Node.js version file support</h2>
<p>The new input (<code>node-version-file</code>) provides functionality to specify the path to the file containing Node.js's version with such behaviour:</p>
<ul>
<li>If the file does not exist the action will throw an error.</li>
<li>If you specify both <code>node-version</code> and <code>node-version-file</code> inputs, the action will use value from the <code>node-version</code> input and throw the following warning: <code>Both node-version and node-version-file inputs are specified, only node-version will be used</code>.</li>
<li>For now the action does not support all of the variety of values for Node.js version files. The action can handle values according to the <a href=""LINK and values with <code>v</code> prefix (<code>v14</code>)</li>
</ul>
<pre lang=""yaml""><code>steps:
  - uses: actions/checkout@v2
  - name: Setup node from node version file
    uses: actions/setup-node@v2
    with:
      node-version-file: '.nvmrc'
  - run: npm install
  - run: npm test
</code></pre>
<h2>Update actions/cache dependency to 1.0.8 version.</h2>
<p>We updated actions/cache dependency to the latest version (1.0.8). For more information please refer to the <a href=""LINK
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""LINK update cache to 1.0.8 (<a href=""LINK
<li><a href=""LINK Adding Node.js version file support (<a href=""LINK
<li><a href=""LINK Fix typo in the <code>bug_report</code> template (<a href=""LINK
<li><a href=""LINK Add issue and pull request templates (<a href=""LINK
<li><a href=""LINK Update dependencies (<a href=""LINK
<li>See full diff in <a href=""LINK view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](LINK

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",1
4,h5bp/html5-boilerplate,dependabot[bot],chore(deps-dev): update webpack-dev-server requirement from ^4.5.0 to ^4.6.0 in /src,"Updates the requirements on [webpack-dev-server](LINK to permit the latest version.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""LINK releases</a>.</em></p>
<blockquote>
<h2>v4.6.0</h2>
<h2><a href=""LINK (2021-11-25)</h2>
<h3>Features</h3>
<ul>
<li>allow to pass all <code>chokidar</code> options (<a href=""LINK (<a href=""LINK
</ul>
<h3>Bug Fixes</h3>
<ul>
<li>reconnection logic (<a href=""LINK (<a href=""LINK
<li>reload on warnings (<a href=""LINK (<a href=""LINK
</ul>
</blockquote>
</details>
<details>
<summary>Changelog</summary>
<p><em>Sourced from <a href=""LINK changelog</a>.</em></p>
<blockquote>
<h2><a href=""LINK (2021-11-25)</h2>
<h3>Features</h3>
<ul>
<li>allow to pass all <code>chokidar</code> options (<a href=""LINK (<a href=""LINK
</ul>
<h3>Bug Fixes</h3>
<ul>
<li>reconnection logic (<a href=""LINK (<a href=""LINK
<li>reload on warnings (<a href=""LINK (<a href=""LINK
</ul>
<h2><a href=""LINK (2021-11-13)</h2>
<h3>Features</h3>
<ul>
<li>add <code>--web-socket-server-type</code> option for CLI (<a href=""LINK (<a href=""LINK
<li>show deprecation warning for <code>https</code>/<code>http2</code> option, <a href=""LINK guide for <code>https</code></a> and <a href=""LINK guide for <code>http2</code></a> (because we use <a href=""LINK for http2 due <code>express</code> doesn't support http2) (<a href=""LINK (<a href=""LINK
</ul>
<h3>Bug Fixes</h3>
<ul>
<li>infinity refresh on warnings (<a href=""LINK (<a href=""LINK
<li>invalid host message is missing on client with https (<a href=""LINK (<a href=""LINK (<a href=""LINK
<li>remove process listeners after stopping the server (<a href=""LINK (<a href=""LINK
</ul>
<h2><a href=""LINK (2021-10-27)</h2>
<h3>Features</h3>
<ul>
<li>added the <code>server</code> option, now you can pass server options, example <code>{ server: { type: 'http', options: { maxHeaderSize: 32768 } } }</code>, available options for <a href=""LINK and <a href=""LINK note - for <code>http2</code> is used <a href=""LINK options specified in the <code>server.options</code> option take precedence over <code>https</code>/<code>http2</code> options (<a href=""LINK (<a href=""LINK
<li>added the <code>client.reconnect</code> option (<a href=""LINK (<a href=""LINK
<li>improve error handling within <code>startCallback</code> and <code>endCallback</code> (<a href=""LINK (<a href=""LINK
</ul>
<h3>Bug Fixes</h3>
<ul>
<li>schema for web socket server type (<a href=""LINK (<a href=""LINK
<li>typo in SSL information log (<a href=""LINK (<a href=""LINK
</ul>
<h3><a href=""LINK (2021-10-04)</h3>
<h3>Bug Fixes</h3>
<ul>
<li>perf (<a href=""LINK (<a href=""LINK
</ul>
<!-- raw HTML omitted -->
</blockquote>
<p>... (truncated)</p>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""LINK chore(release): 4.6.0</li>
<li><a href=""LINK fix: reload on warnings (<a href=""LINK
<li><a href=""LINK feat: allow to pass all <code>chokidar</code> options (<a href=""LINK
<li><a href=""LINK chore(deps-dev): bump webpack from 5.64.2 to 5.64.3 (<a href=""LINK
<li><a href=""LINK chore(deps-dev): bump memfs from 3.3.0 to 3.4.0 (<a href=""LINK
<li><a href=""LINK chore: remove redundant <code>eslint-disable</code> comments (<a href=""LINK
<li><a href=""LINK chore: remove redundant snapshots (<a href=""LINK
<li><a href=""LINK chore(deps): bump ws from 8.2.3 to 8.3.0 (<a href=""LINK
<li><a href=""LINK chore(deps-dev): bump lint-staged from 12.1.1 to 12.1.2 (<a href=""LINK
<li><a href=""LINK fix: reconnection logic (<a href=""LINK
<li>Additional commits viewable in <a href=""LINK view</a></li>
</ul>
</details>
<br />


Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",1
5,h5bp/html5-boilerplate,dependabot[bot],chore(deps-dev): update webpack requirement from ^5.64.1 to ^5.64.4 in /src,"Updates the requirements on [webpack](LINK to permit the latest version.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""LINK releases</a>.</em></p>
<blockquote>
<h2>v5.64.4</h2>
<h1>Bugfixes</h1>
<ul>
<li>fix tagged template literal evaluation</li>
<li>fix ModuleFederation with ESM</li>
<li>fix outputModule with intial splitChunks</li>
</ul>
<h1>Performance</h1>
<ul>
<li>upgrade watchpack for faster watcher updating</li>
<li>track file and directory timestamps separately in watchpack and webpack</li>
</ul>
<h1>Developer Experience</h1>
<ul>
<li>show origin of singleton shared module in mismatch warning</li>
</ul>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""LINK 5.64.4</li>
<li><a href=""LINK Merge pull request <a href=""LINK from webpack/bugfix/split-chunks-esm</li>
<li><a href=""LINK Merge pull request <a href=""LINK from webpack/bugfix/mf-module</li>
<li><a href=""LINK fix outputModule with initial splitChunks</li>
<li><a href=""LINK fix test problem</li>
<li><a href=""LINK fix CI problems</li>
<li><a href=""LINK fix and test module federation with ESM</li>
<li><a href=""LINK Merge pull request <a href=""LINK from tanhauhau/tanhauhau/show-which-container-loade...</li>
<li><a href=""LINK update test case</li>
<li><a href=""LINK Merge pull request <a href=""LINK from markjm/markjm/context-timestamps</li>
<li>Additional commits viewable in <a href=""LINK view</a></li>
</ul>
</details>
<br />


Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",1
6,h5bp/html5-boilerplate,jeanlucaslima,Adds .DS_Store file to .gitignore and solves #2653,"## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [ ] Bug fix (non-breaking change which fixes an issue)
- [x] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [x] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [x] I have read the **[CONTRIBUTING](LINK document.
- [ ] I have added tests to cover my changes.
- [ ] All new and existing tests passed.

This solves #2653, which is a simple quality of life feature for Mac users. Not much to say here other than that.",1
7,h5bp/html5-boilerplate,thejoegalaxy,Test,"## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [ ] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [ ] I have read the **[CONTRIBUTING](LINK document.
- [ ] I have added tests to cover my changes.
- [ ] All new and existing tests passed.

Pull requests should be thought of as a conversation. There will be some back and forth when trying to get code merged into this or any other project. With all but the simplest changes you can and should expect that the maintainers of the project will request changes to your code. Please be aware of that and check in after you open your PR in order to get your code merged in cleanly.

Thanks!
",5
8,h5bp/html5-boilerplate,thejoegalaxy,Add bootstrap,"## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [ ] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [ ] I have read the **[CONTRIBUTING](LINK document.
- [ ] I have added tests to cover my changes.
- [ ] All new and existing tests passed.

Pull requests should be thought of as a conversation. There will be some back and forth when trying to get code merged into this or any other project. With all but the simplest changes you can and should expect that the maintainers of the project will request changes to your code. Please be aware of that and check in after you open your PR in order to get your code merged in cleanly.

Thanks!
",7
9,h5bp/html5-boilerplate,getcoder-top,line 2 added lang as english,"in line 2 added lang as english

## Types of changes
<!--- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->
- [x] Bug fix (non-breaking change which fixes an issue)
- [ ] New feature (non-breaking change which adds functionality)
- [ ] Breaking change (fix or feature that would cause existing functionality to change)

## Checklist:
<!--- Go over all the following points, and put an `x` in all the boxes that apply. -->
<!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->
- [ ] My code follows the code style of this project.
- [ ] My change requires a change to the documentation.
- [ ] I have updated the documentation accordingly.
- [ ] I have read the **[CONTRIBUTING](LINK document.
- [ ] I have added tests to cover my changes.
- [ ] All new and existing tests passed.

Pull requests should be thought of as a conversation. There will be some back and forth when trying to get code merged into this or any other project. With all but the simplest changes you can and should expect that the maintainers of the project will request changes to your code. Please be aware of that and check in after you open your PR in order to get your code merged in cleanly.

Thanks!
",1
